"OrderNumber","SalesChannelTxt","SalesChannel","WarehouseCode","Warehouse","ProcuredDate","OrderDate","StockTime","ShipDate","ProcessingTime","DeliveryDate","ShippingTime","CurrencyCode","SalesTeamID","CustomerID","StoreID","ProductID","Order Quantity","Discount Applied","Unit Cost","Unit Price"
"SO - 0006891","In-Store",1,"WARE-NMK1003",3,10/03/20,12/08/20,155,09/09/20,28,"18/09/20",9,"USD",3,12,153,4,7,0.05,"1,001.18","1,963.10"
"SO - 0004254","In-Store",1,"WARE-NBV1002",2,"15/05/19",05/10/19,143,"14/10/19",9,"24/10/19",10,"USD",11,41,87,36,3,0.05,"3,348.66","3,939.60"
"SO - 0007354","Online",2,"WARE-UHY1004",4,"18/06/20",06/10/20,110,"17/10/20",11,"22/10/20",5,"USD",13,37,255,33,7,0.05,781.22,"1,775.50"
"SO - 0007399","Distributor",3,"WARE-NMK1003",3,"18/06/20",10/10/20,114,"28/10/20",18,05/11/20,8,"USD",24,26,127,24,7,0.15,"1,464.69","2,324.90"
"SO - 0001075","In-Store",1,"WARE-PUJ1005",5,10/04/18,"22/09/18",165,"13/10/18",21,"22/10/18",9,"USD",11,27,320,38,6,0.08,"1,476.14","1,822.40"
"SO - 0003284","Distributor",3,"WARE-PUJ1005",5,04/02/19,07/06/19,123,03/07/19,26,08/07/19,5,"USD",24,50,286,2,4,0.08,446.56,"1,038.50"
"SO - 0003561","Wholesale",4,"WARE-NMK1003",3,04/02/19,"13/07/19",159,"28/07/19",15,03/08/19,6,"USD",27,7,151,6,8,0.08,536.67,"1,192.60"
"SO - 000395","In-Store",1,"WARE-PUJ1005",5,10/04/18,05/07/18,86,"16/07/18",11,"26/07/18",10,"USD",8,44,278,41,4,0.1,"1,525.19","1,815.70"
"SO - 0004685","Online",2,"WARE-NBV1002",2,"23/08/19","27/11/19",96,08/12/19,11,12/12/19,4,"USD",17,41,85,21,1,0.08,"2,211.20","3,879.30"
"SO - 0007289","Online",2,"WARE-UHY1004",4,"18/06/20","28/09/20",102,"21/10/20",23,"29/10/20",8,"USD",17,33,219,23,2,0.05,"1,212.97","1,956.40"
"SO - 000799","Online",2,"WARE-XYS1001",1,10/04/18,"19/08/18",131,09/09/18,21,12/09/18,3,"USD",19,13,17,33,7,0.05,124.62,201
"SO - 0002651","Online",2,"WARE-NBV1002",2,04/02/19,"27/03/19",51,"14/04/19",18,"18/04/19",4,"USD",18,24,62,23,1,0.08,"2,762.28","6,277.90"
"SO - 0002240","In-Store",1,"WARE-NMK1003",3,"27/10/18",03/02/19,99,"26/02/19",23,08/03/19,10,"USD",5,31,139,27,2,0.1,641.66,"1,051.90"
"SO - 000351","Distributor",3,"WARE-NMK1003",3,10/04/18,"30/06/18",81,11/07/18,11,"16/07/18",5,"USD",21,40,147,34,8,0.1,216.41,254.6
"SO - 0005397","Online",2,"WARE-XYS1001",1,01/12/19,"19/02/20",80,03/03/20,13,11/03/20,8,"USD",19,35,31,18,5,0.08,"3,146.32","3,932.90"
"SO - 0006111","Online",2,"WARE-XYS1001",1,10/03/20,"15/05/20",66,"18/05/20",3,"20/05/20",2,"USD",19,44,46,22,5,0.05,700.69,"1,112.20"
"SO - 000465","In-Store",1,"WARE-XYS1001",1,10/04/18,"13/07/18",94,"15/07/18",2,"23/07/18",8,"USD",10,15,56,14,1,0.05,904.84,"1,239.50"
"SO - 000103","Distributor",3,"WARE-UHY1004",4,"31/12/17","31/05/18",151,"21/06/18",21,01/07/18,10,"USD",21,16,213,16,1,0.05,393.96,984.9
